OFFICIAL MEASUREMENT
TIME,DELAY,INITIAL PERCENTAGE,,SPEED


5.328564,1.045145,0.000000,,211.126303
4.980220,1.025058,0.014222,,222.680922
4.962102,1.002585,0.008000,,224.904690
4.979328,1.018370,0.009778,,223.724972
4.978448,1.029841,0.008889,,223.965374
5.963304,1.940206,0.005333,,187.647652
5.968583,1.924264,0.000889,,188.319402
4.967275,1.007308,0.002667,,225.878378
4.980431,1.004110,0.010667,,223.474642
4.979419,1.008073,0.009778,,223.720880

5.952678,1.338817,0.052491,,178.911073
4.973449,1.003314,0.007117,,224.391564
4.965561,1.009506,0.000000,,226.359109
4.977311,1.037932,0.009786,,223.614713
4.961693,1.002396,0.003559,,225.729401
4.977065,1.022509,0.007117,,224.228532
3.980649,1.482631,0.015125,,278.095356

4.990203,1.006636,0.002664,,225.040950
5.982045,1.923209,0.001776,,187.895613
5.980231,1.939600,0.008881,,186.614863
5.982847,1.937423,0.007105,,186.867557
4.975860,1.003033,0.007105,,224.684773
5.961066,1.937826,0.003552,,188.221368
5.981560,1.910856,0.007993,,186.740583
5.962467,1.919747,0.003552,,188.177144
4.978489,1.008097,0.010657,,223.762665
5.970489,1.914842,0.000888,,188.426776

4.991959,1.031455,0.003552,,224.761457


5.021543,1.114088,0.004440,,223.238155
5.977021,1.930483,0.006217,,187.217011
4.976217,1.009441,0.008881,,224.266746

5.036451,1.056427,0.000000,,223.570125
4.980581,1.042970,0.011545,,223.467903
4.977970,1.042659,0.008881,,224.187766
5.977608,1.933847,0.007105,,187.031335
4.969630,1.020237,0.002664,,225.972557
5.964339,1.935051,0.005329,,187.782753
4.978187,1.011790,0.007993,,224.378871
4.979621,1.016185,0.009769,,223.912626
4.976433,1.007146,0.007993,,224.457958
4.968849,1.053189,0.000888,,226.410586
5.962414,1.931646,0.004440,,188.011097
4.989572,1.003121,0.006217,,224.267731
4.976862,1.023661,0.009769,,224.036755
4.979215,1.016455,0.008881,,224.131720
5.970817,1.890863,0.000888,,188.416423
5.961361,1.904594,0.003552,,188.212049
4.982372,1.019288,0.010657,,223.588281
4.977154,1.049884,0.008881,,224.224526
4.979902,1.021527,0.009769,,223.899987
4.986337,1.003536,0.005329,,224.613782
4.976358,1.019348,0.007105,,224.662296
5.969404,1.929613,0.001776,,188.293505
5.963288,1.935728,0.003552,,188.151233
4.978188,1.019224,0.009769,,223.977076
4.978017,1.002537,0.009769,,223.984767
4.963047,1.008708,0.004440,,225.869308
4.979271,1.003038,0.007993,,224.330030
5.990902,1.941449,0.007105,,186.616308
4.979352,1.023775,0.009769,,223.924720
5.967768,1.921044,0.000888,,188.512684
4.977179,0.941627,0.008881,,224.223398
5.977289,1.926596,0.003552,,187.710517
4.978042,1.007973,0.008881,,224.184523
4.975319,1.054994,0.008881,,224.307229
4.961400,1.019226,0.005329,,225.742732
4.978354,1.010214,0.008881,,224.170480
5.962207,1.936634,0.005329,,187.849899
4.977540,1.019869,0.006217,,224.809845
4.979403,1.027636,0.012433,,223.319943
4.965578,1.048853,0.000000,,226.761111
4.978352,1.031020,0.007993,,224.371446
5.962592,1.924701,0.002664,,188.340913
4.976428,1.033757,0.007993,,224.458184
