empty_ticks average_percentage seconds_run nanoseconds_run
28 24.239826 20 0
0 40.453873 20 0
25 35.952804 20 0
369432 0.056551 20 0
2678 15.141053 20 0
2844 16.254178 20 0
2506 14.208634 20 0
133 79.277258 20 0
82 79.786756 20 0
147 80.582201 20 0
299 15.284812 20 0
245 25.498909 20 0
192 15.677298 20 0
79 17.743923 20 0
395543 8.675835 40 0
441208 7.727207 40 0
477414 7.573464 40 0
13 7.970727 40 0
8 29.338266 40 0
6 24.579823 40 0
6 6.659882 100 0
7 6.906327 100 0
2492652 2.686741 100 0
80 91.613004 100 0
200 53.820399 20 0
1 75.004686 20 0
116 38.780341 20 0
26 78.148449 20 0
71 79.424594 20 0
117 24.651937 20 0
0 17.303094 20 0
91 78.253144 20 0
44 23.210780 20 0
187 88.022907 20 0
61 81.557516 20 0
150 20.252039 20 0
137 44.767695 20 0
167 20.811234 20 0
90129 0.000586 20 0
45911 0.001254 20 0
23673 0.681195 20 0
144 86.623614 20 0
2 73.962402 20 0
93 71.053826 20 0
40 48.830212 20 0
42 79.602643 20 0
51 26.640574 20 0
45 27.683663 20 0
71 43.827566 20 0
143 78.173182 20 0
76 79.533348 20 0
194 73.832771 20 0
163 72.380867 20 0
323 75.543520 20 0
64 77.487960 20 0
84 70.029209 20 0
71 23.098154 20 0
130 23.409648 20 0
46 73.484707 20 0
149 23.644752 20 0
97 57.298142 20 0
109 51.380177 20 0
